git-status-clean	0	0	.omo/ulw-research/20260713-120115/verification-logs/git-status-clean.log
source-ledger-complete	0	0	.omo/ulw-research/20260713-120115/verification-logs/source-ledger-complete.log
base-lane-count	0	0	.omo/ulw-research/20260713-120115/verification-logs/base-lane-count.log
expansion-waves	0	0	.omo/ulw-research/20260713-120115/verification-logs/expansion-waves.log
credential-report-redaction	0	0	.omo/ulw-research/20260713-120115/verification-logs/credential-report-redaction.log
test-bootstrap-password-install-helper	0	2	.omo/ulw-research/20260713-120115/verification-logs/test-bootstrap-password-install-helper.log
test-bootstrap-password-lifecycle	0	3	.omo/ulw-research/20260713-120115/verification-logs/test-bootstrap-password-lifecycle.log
test-bootstrap-password-mutations	0	35	.omo/ulw-research/20260713-120115/verification-logs/test-bootstrap-password-mutations.log
test-bootstrap-password-secret-scan	0	1	.omo/ulw-research/20260713-120115/verification-logs/test-bootstrap-password-secret-scan.log
test-dendritic-apps	0	0	.omo/ulw-research/20260713-120115/verification-logs/test-dendritic-apps.log
test-dendritic-architecture	0	0	.omo/ulw-research/20260713-120115/verification-logs/test-dendritic-architecture.log
test-dendritic-boundaries	0	0	.omo/ulw-research/20260713-120115/verification-logs/test-dendritic-boundaries.log
test-dendritic-shells	0	11	.omo/ulw-research/20260713-120115/verification-logs/test-dendritic-shells.log
flake-check-all-systems-no-build	0	6	.omo/ulw-research/20260713-120115/verification-logs/flake-check-all-systems-no-build.log
flake-check-all-systems-no-build	0	8	.omo/ulw-research/20260713-120115/verification-logs/flake-check-all-systems-no-build.log
eval-x86-toplevel	0	14	.omo/ulw-research/20260713-120115/verification-logs/eval-x86-toplevel.log
eval-arm-toplevel	0	27	.omo/ulw-research/20260713-120115/verification-logs/eval-arm-toplevel.log
eval-x86-toplevel	0	27	.omo/ulw-research/20260713-120115/verification-logs/eval-x86-toplevel.log
eval-darwin-arm	0	7	.omo/ulw-research/20260713-120115/verification-logs/eval-darwin-arm.log
eval-darwin-intel	0	5	.omo/ulw-research/20260713-120115/verification-logs/eval-darwin-intel.log
eval-arm-toplevel	0	11	.omo/ulw-research/20260713-120115/verification-logs/eval-arm-toplevel.log
eval-darwin-arm	0	6	.omo/ulw-research/20260713-120115/verification-logs/eval-darwin-arm.log
eval-hm-x86	0	7	.omo/ulw-research/20260713-120115/verification-logs/eval-hm-x86.log
eval-darwin-intel	0	5	.omo/ulw-research/20260713-120115/verification-logs/eval-darwin-intel.log
eval-hm-arm	0	6	.omo/ulw-research/20260713-120115/verification-logs/eval-hm-arm.log
eval-hm-x86	0	6	.omo/ulw-research/20260713-120115/verification-logs/eval-hm-x86.log
eval-hm-arm	0	5	.omo/ulw-research/20260713-120115/verification-logs/eval-hm-arm.log
